,,,"Milton [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  100970,,   49760,,   51210,,13312865,, 6503875,, 6808990,
"Knowledge of official languages","  English only",,   91130,,   45720,,   45410,,11455500,, 5689830,, 5765665,
"Knowledge of official languages","  French only",,     115,,      50,,      60,,   40040,,   17340,,   22705,
"Knowledge of official languages","  English and French",,    8090,,    3410,,    4675,, 1490390,,  665850,,  824540,
"Knowledge of official languages","  Neither English nor French",,    1640,,     580,,    1060,,  326935,,  130850,,  196085,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  100970,,   49760,,   51210,,13312865,, 6503880,, 6808995,
"First official language spoken","  English",,   96990,,   48120,,   48875,,12394325,, 6095970,, 6298355,
"First official language spoken","  French",,    1490,,     665,,     825,,  504130,,  236875,,  267250,
"First official language spoken","  English and French",,     890,,     420,,     475,,   92940,,   42910,,   50030,
"First official language spoken","  Neither English nor French",,    1600,,     560,,    1040,,  321480,,  128125,,  193355,
"First official language spoken","Official language minority (number)",17,    1940,,     875,,    1060,,  550600,,  258330,,  292270,
"First official language spoken","Official language minority (percentage)",17,    1.9,,    1.8,,    2.1,,    4.1,,    4.0,,    4.3,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  100975,,   49760,,   51210,,13312870,, 6503875,, 6808990,
"Mother tongue","  Single responses",,   96015,,   47295,,   48720,,12946960,, 6327630,, 6619330,
"Mother tongue","    Official languages",,   62555,,   31115,,   31440,, 9393040,, 4637520,, 4755520,
"Mother tongue","      English",,   61180,,   30490,,   30690,, 8902320,, 4406210,, 4496110,
"Mother tongue","      French",,    1380,,     625,,     750,,  490715,,  231310,,  259410,
"Mother tongue","    Non-official languages",,   33460,,   16180,,   17275,, 3553920,, 1690110,, 1863810,
"Mother tongue","      Aboriginal languages",,       5,,       0,,       5,,   22765,,   10815,,   11950,
"Mother tongue","        Algonquian languages",,       5,,       0,,       0,,   21235,,   10175,,   11060,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,    5080,,    2485,,    2595,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       5,,       5,,       5,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      55,,      25,,      30,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,      35,,       5,,      30,
