,,,"Oakville, Town [Census subdivision], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  193832,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  182520,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      6.2,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   68617,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   66269,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",, 1395.6,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,    138.89,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  193830,,   93655,,  100175,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   36710,,   18635,,   18075,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    8955,,    4525,,    4425,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   13055,,    6570,,    6480,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   14700,,    7540,,    7160,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  128950,,   62465,,   66485,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   14725,,    7510,,    7215,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   12735,,    6560,,    6175,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    8400,,    4270,,    4125,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    8105,,    3730,,    4375,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   11340,,    4990,,    6340,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   15515,,    7150,,    8360,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   17380,,    8315,,    9060,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   16295,,    8015,,    8290,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   14030,,    6900,,    7135,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   10425,,    5020,,    5410,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   28170,,   12555,,   15610,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    8630,,    3995,,    4635,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    6700,,    3125,,    3575,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    5135,,    2365,,    2775,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    3805,,    1655,,    2155,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    3895,,    1420,,    2485,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    2455,,     965,,    1495,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    1150,,     390,,     760,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     255,,      55,,     200,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      40,,      10,,      30,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   18.9,,   19.9,,   18.0,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   66.5,,   66.7,,   66.4,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   14.5,,   13.4,,   15.6,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.0,,    1.5,,    2.5,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   39.7,,   38.8,,   40.6,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   41.7,,   40.9,,   42.3,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   66265,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   40530,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    7885,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   17850,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    2615,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,   11065,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     955,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    3150,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,      65,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,       0,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   66270,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,   11760,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   18715,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,   12170,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,   15560,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    8070,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  191720,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.9,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  157120,,   75020,,   82100,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   97415,,   48480,,   48930,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   90305,,   44915,,   45390,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,    7110,,    3565,,    3540,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   59710,,   26535,,   33170,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,   41805,,   21665,,   20140,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    3500,,    1325,,    2175,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    6950,,    2150,,    4800,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    7455,,    1400,,    6060,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   54875,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   20595,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,   12530,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,   15885,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    5865,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    3.2,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   54875,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   47745,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   44195,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    3555,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    7125,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    5765,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    1360,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   47750,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   16595,,,...,,..., 1428575,,,...,,...
