AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED
St Michael's Hospital,"21 McGill St, Toronto, ON     M5B 1H3","Church-Yonge Corridor, 75",Central Intake 416-864-5120,steps@smh.ca,"<a href=""http://www.stmichaelshospital.com/programs/mentalhealth"" target=""_blank"">www.stmichaelshospital.com/programs/mentalhealth</a>",Youth 16-23 years experiencing a first episode of psychosis * may be homeless or have problems with drugs or alcohol,"Assessment * treatment * support with school, work, social activities * family education and support * referral to community services",Professional or self referral,"English , Interpretive services",Not Accessible,Mon-Fri 9 am-5 pm,(50) Non Profit,2013-10-21T04:00:00
St Michael's Hospital,"30 Bond St, Toronto, ON     M5B 1W8","Church-Yonge Corridor, 75","Office 416-864-5346 , Emergency Department 416-864-5094",,"<a href=""http://www.stmichaelshospital.com"" target=""_blank"">www.stmichaelshospital.com</a>",People who need medical care for serious illnesses and injuries,"Psychiatric emergencies -- Monday-Sunday 24 hours, accessible through emergency department (see separate listing) <br><br>

<b>Crisis Stabilization Unit</b> -- assessment, treatment and support for up to 72 hours * 3 bed unit * accessible through emergency department (see separate listing) <br> <br>

<b>Mobile Crisis Intervention Team</b> -- Monday-Sunday 1 pm-11 pm * to access team call 911 * serves Toronto Police 51 and 52 Divisions <br> <br>

<b>Community Mental Health Liaison Team</b> -- short term case management * help with basic needs such as food and shelter * help connecting with health and mental health services * accessible through emergency department (see separate listing)<br><br>

<b>Geriatric Mental Health Outreach Program</b>  416-864-6060 ext 3278 -- specialized consultation, assessment and follow up services for residents of long term care facilities with complex behavioural problems",No referral required,"English , Interpretive services",Bond St entrance not wheelchair accessible * Queen and Victoria St entrances wheelchair accessible * braille elevator Queen and Victoria St * entrances close to parking,Office -- Mon-Fri 8:30 am-4:30 pm * emergency services -- Mon-Fri 24 hours,(50) Non Profit,2013-10-16T04:00:00
WoodGreen Community Services,"815 Danforth Ave, Ste 300, Toronto, ON     M4J 1L2","Danforth, 66",416-645-6000 ext 2100/2200,newcomerinfo@woodgreen.org,"<a href=""http://www.woodgreen.org"" target=""_blank"">www.woodgreen.org</a>",Newcomers (immigrants and refugees) * Mentorship for Internationally Trained Professionals -- foreign-trained professionals who are landed immigrants or Convention refugees,"<b>Settlement services</b> -- orientation, integration * counselling * information and referral * newcomer workshops * worker and parent network support groups * Muslim young women's group * financial literacy program * newcomer volunteer program * English Conversation Circle * Microsoft Computer Certification Program * social and recreational activities * <b>Befriending Program</b> -- matches newcomers with Canadian volunteer hosts who offer orientation to their local area and moral support in their transition to Canada<br><br>

<b><a href="" http://www.woodgreen.org/homeportal.aspx"" target=""_blank"">H.O.M.E (Housing Opportunities and Marketplace Exchange)</a></b> -- connects Syrian refugees with available housing, goods and services <br><br>

<b>Immigrant Youth Program</b> -- for youth 13-24 years * friendship and emotional support * individual support * homework club * computer camp * sports club * social and recreational activities * orientation to postsecondary education* job search support * support for at-risk newcomer youth<br><br>

<b>Mentorship for Internationally Trained Professionals</b> -- one-on-one or online program * matches internationally trained professionals with a mentor from a similar profession for cultural and professional orientation * <b>Community Connections Group Activity Program</b> -- group activities for newly arrived immigrants and refugees to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development
<br><br>

Seasonal income tax clinic -- open to all
<br><br>

Some programs and services provided off site<br><br>
Settlement Program, formerly Immigrant Settlement and Adaptation Program",Call for appointment or drop in,"English , French , Albanian , Arabic , Armenian , Belorussian , Bengali , Chinese (Cantonese) , Chinese (Mandarin) , Czech , Farsi , Filipino , German , Greek , Gujarati , Hindi , Hungarian , Italian , Japanese , Polish , Portuguese , Punjabi , Russian ,","Wheelchair accessible automatic main entrance , Easy access to elevator , Wheelchair accessible washroom, assistance needed with door , Street parking - not designated","Mon-Thu 9 am-5 pm, Fri 9 am-12:30 pm * some evening and Saturday programs","(50) Non Profit , (51) Registered Charity",2016-01-25T05:00:00
Bangladeshi Canadian Community Services,"2899 Danforth Ave, Toronto, ON     M4C 1M3","East End-Danforth, 62",416-699-4484,nakter@bangladeshi.ca,"<a href=""http://www.bangladeshi.ca"" target=""_blank"">www.bangladeshi.ca</a>",Open to all including immigrants and refugees * focus on Taylor Massey community,"Settlement services * information and referral including for legal advice on refugee and immigration matters or for crisis intervention for assaulted women or men * form filling * sessions to address domestic abuse and violence * individual, couple and family counselling * job search support -- mentoring, placement, information * career counselling for internationally trained professionals * youth counselling * support groups for families
<br><br>
After School Tutoring Program (ASTP) -- for students 10-29 years, Saturdays 2-5 pm at AccessPoint on Danforth, 3079 Danforth Ave
<br><br>
Senior Services -- senior support program * workshops, accompaniment to appointments, interpreting, home supports
<br><br>
Youth Engagement Program * Youth Eliminates Smoking program",Call for appointment,"English , Bengali , Hindi , Urdu","Wheelchair accessible washroom, assistance needed with door , Main entrance wheelchair accessible",Mon-Fri 9:30 am-4:30 pm,"(50) Non Profit , (51) Registered Charity",2015-09-15T04:00:00
Harriet Tubman Community Organization,"1761 Sheppard Ave E, Main Fl, Street Level, Toronto, ON     M2J 0A5","Henry Farm, 53",416-496-2042,info@tubmancommunity.org,"<a href=""http://www.tubmancommunity.org"" target=""_blank"">www.tubmancommunity.org</a>","Focus on African-Canadian children, youth and their families","Social and recreational programs * leadership program for youth 15-24 years * personal and social development for young women 13-19 years, includes information on health and sexuality * counselling for youth 14-18 years * support, information and referral for newcomers * tutoring * summer day camp * intergenerational health education and healing circles for women 17-55 years * <b>Youth Honouring Community Achievements</b> -- recognizes the contributions of the African-Canadian community * cultural and social events<br><br>

Programs offered at various locations",Call for information,"English , French",Wheelchair accessible automatic main entrance,Mon-Fri 12 noon-7 pm,(50) Non Profit,2015-07-15T04:00:00
East Metro Youth Services,"1200 Markham Rd Ste 200, Toronto, ON     M1H 3C3","Woburn, 137",416-438-3697,emys@emys.on.ca,"<a href=""http://www.emys.on.ca"" target=""_blank"">www.emys.on.ca</a>",No restrictions,"Children's Mental Health agency providing a range of services to youth, 12 - 18 and their families who live in East Toronto.<BR><BR><B>What's Up Walk-in Clinic</B> - East Metro Youth Services <i>whats up</i> walk-in
Clinic is a free Monday  Saturday mental health and counselling walk-in
service.&nbsp, The clinic provides children, youth, young adults and their
families immediate counselling for a range of issues including depression,
anxiety, family conflict and bullying.<BR><BR><B>Services and Programs:</B><UL><LI>Day Treatment Program</LI><LI>Galloway After School Program</LI><LI>Intensive Home Based Services: Intensive Child and Family Services (ICFS) and Priority Access for Child Welfare Clients</LI><LI>Residential Treatment</LI><LI>Respite</LI><LI>Time For The Taking</LI><LI>Violence Intervention Project</LI><LI>Whatever it Takes (WIT)</LI></UL>",Call or visit,English,Fully Accessible,Mon-Thu 9am-8pm * Fri 9am-5pm,,2015-07-29T04:00:00
Arab Community Centre of Toronto,"555 Burnhamthorpe Rd, Ste 209, Toronto, ON     M9C 2Y3","Etobicoke West Mall, 13",416-231-7746,Info@arabnewcomers.org,"<a href=""http://www.arabcommunitycentre.com"" target=""_blank"">www.arabcommunitycentre.com</a>",Open to everyone,"<b>Settlement Services</b> (formerly Immigrant Settlement and Adaptation Program) and Newcomer Settlement Program -- information and referral * housing and legal assistance * translation and interpretation * escort * counselling for students, individuals and families, liaising with Children's Aid Society * youth counselling and parenting sessions * orientation * settlement * refugee services -- referral and assistance with shelter, attendance at inquiry, employment, social, welfare and legal services * social and cultural activities * Ontario Community Participation -- volunteer placement program for Ontario Works recipients * also offered at 1 Resurrection Rd, 416-533-3292 , 898 Markham Rd, 416-439-0767<br> <br> 

<b>Youth Services</b> -- settlement program encouraging civic participation and integration through a focus on recreation, sport, and mentorship<br> <br>

<b>Employment Services</b> -- Job Search Workshops (JSW) for new immigrants, Convention refugees or Live-in Caregivers, legally entitled to work in Canada * 3 or 4 day job search techniques workshops, including assessment with a job coach, individual action plan, labour market information, life skills and preemployment workshops with resume preparation, networking * extensive individual assistance<br> <br>

<b>Problem Gambling Program</b> -- culturally appropriate prevention, education and treatment * outreach and public education to community groups * individual or group counselling for gamblers or those affected<br> <br>

<b>Domestic Violence Education Program</b> -- counselling and referral for victims of family violence",Drop in or call for appointment,"English , French , Arabic , Armenian , Assyrian , Dari , Dutch , Farsi , Hindi , Lithuanian , Pashto , Punjabi , Russian , Urdu",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2015-09-11T04:00:00
Etobicoke Children's Centre,"Rexdale Mall, 2267 Islington Ave, Lower Level, Toronto, ON     M9W 3W7","Elms-Old Rexdale, 5",416-240-1111,ecc@etobicokechildren.com,"<a href=""http://www.etobicokechildren.com"" target=""_blank"">www.etobicokechildren.com</a>","Children birth-16 years experiencing or at risk for mental health issues, including psycho-social, emotional, behavioural problems, and their families","Drop-in counselling services for children and youth experiencing social, emotional, behaviour, learning, communication or relationship difficulties * brief counselling addresses concerns such as parent-child conflict, difficulties at school, behaviour management, peer problems, issues related to separation and divorce, psycho-social adjustment, anxiety, depression, abuse * referral for ongoing service to ECC or other community resources * confidential * no medical services","Call or drop in * referral by custodial parent or legal guardian, or self-referral by children/youth 12 years and older with capacity to consent to service","English , Interpretation arranged for other languages",Unknown,Wed 12:30 pm-8 pm -- last appointment at 6:30 pm,"(50) Non Profit , (51) Registered Charity",2015-02-10T05:00:00
Anishnawbe Health Toronto,"179 Gerrard St E, Toronto, ON     M5A 2E5","Moss Park, 73",416-920-2605,info@aht.ca,"<a href=""http://www.aht.ca"" target=""_blank"">www.aht.ca</a>",Aboriginal ancestry,"Crisis management program and specialized mental health services * Babishkhan Circle of Care, O Tay and Finding My Way Training Program for homeless clients * Community Health Worker Training Program * Toronto Public Health dental clinic for children and seniors, 416-338-6984",Call or drop in,"English , some Aboriginal languages","Wheelchair accessible automatic main entrance , Wheelchair accessible washroom, assistance needed with door , Limited street parking","Mon, Wed 9 am-8 pm, Tue, Thu-Fri 9 am-5 pm * Mental Health Crisis Line -- Mon-Sun 24 hours","(50) Non Profit , (51) Registered Charity",2015-05-20T04:00:00
"Canadian Mental Health Association, Toronto Branch","Lawrence Square Mall, 700 Lawrence Ave W, Ste 480, Toronto, ON     M6A 3B4","Yorkdale-Glen Park, 31",416-789-7957,info@cmha-toronto.net,"<a href=""http://www.toronto.cmha.ca"" target=""_blank"">www.toronto.cmha.ca</a>",Persons 16 years and older with serious mental health illness * <b>Housing Services</b> -- persons who are homeless or at risk of becoming homeless due to mental illness * may vary -- see specific program,"Range of community support services * education and mental health promotion to general community * publications * systemic advocacy<br>
<br>
<b>Services for general community</b>: <br>
<br>
<b>Info, Intake and Referral, 416-789-7957 ext 282 or 416-289-6285, cmha.toronto@sympatico.ca</b> -- telephone information on community support and treatment * referrals to appropriate programs and community agencies<br>
<br>
<b>Public Education, 416-789-7957 ext 260, workshops@cmha-toronto.net</b> -- workshops on understanding mental illness, workplace impact of employee mental health issues, cross-cultural issues and resettlement stress, ASIST Applied Suicide Intervention Training, Stress Sense and Negative Attitudes, Difficult People<br>
<br>
<b>Services for clients, their families and/or friends</b>: <br>
<br>
<b>Case Management Services</b> -- for persons with serious mental illness who require support to live and work in the community * assistance in meeting basic needs (food, shelter, finances), developing skills and accessing community resources <br>
<br>
<b>Community Treatment Order (CTO) Case Management Services</b> -- intensive case management for persons on Community Treatment Orders with serious mental illness who require support to live and work in the community * assistance in improving life skills, meeting basic needs (food, shelter, finances), accessing community resources, and participating in work and social opportunities <br>
<br>
<b>Early Intervention Program (MOD), 416-789-7957 ext 282</b> -- aims to improve services for young persons in early stages of psychosis by enhancing recognition of early signs and symptoms * community based, interdisciplinary, recovery focused clinical service * provision and coordination of treatment, education, case management, support and referrals<br>
<br>
<b>Employment Services, 416-789-7957 ext 231</b> -- access to employment and training for people with mental health illness * comprehensive employment assistance, employment preparation, job coaching, and employment placement and support * includes consumer operated catering and cleaning business<br>
<br>
<b>Holiday Gift Program</b> -- gifts of warm clothing each December to consumers of mental health services * distributed through mental health agencies<br>
<br>
<b>Housing Services</b> -- access to subsidized, shared and single unit housing across Toronto<br>
<br>
<b>Keele Street Women's Group</b> -- social support and rehabilitation program for women who are socially isolated<br>
<br>
<b>Living Life to the Full, www.llttf.ca</b> -- 8 week course using cognitive behavioural therapy (CBT) * individuals develop skills and strategies to deal with stress, anxiety, and/or life transitions and challenges<br>
<br>
<b>Mental Health Court Support and Diversion Program</b> -- Metro West Court * diversion of individuals with serious mental illness from the court system to mental health and community support services * court support worker assistance * consultation available for individuals who do not qualify for diversion -- referrals to mental health and support services to facilitate bail or assist with sentencing<br>
<br>
<b>NAMI Family-to-Family Education Program, 416-789-7957 ext 270</b> -- for family members and friends of people who have serious and persistent mental illness * 12 week course co-taught by trained volunteer family members * includes information about mental illnesses, coping skills for handling crisis and relapse, communication, empathy and listening skills, medications and side effects, self care, rehabilitation, community services and supports, advocacy and fighting discrimination<br>
<br>
<b>West Metro Assertive Community Treatment Team (ACTT)</b> -- community treatment, rehabilitation and support services for persons with serious mental illness who have been involved with the legal system * services provided by multidisciplinary teams<br>
<br>
<b>What Next! Peer Support Drop-in, 416-449-4555</b> -- recreation, arts and crafts, computer classes and information sessions for consumer/survivors * program offered Monday-Tuesday, Thursday-Friday 1 pm-8 pm and Wednesday 10 am-5 pm at 3701 Chesswood Dr, Ste 208, North York",Call 416-789-7957 ext 282 or email tgordon@cmha-toronto.net for intake,"English , French , Case Management Services -- also French and Italian","Designated parking at entrance - parking lot , Wheelchair accessible automatic main entrance , Easy access to elevator - lowered buttons , Barrier-free washroom including door and stall",Mon-Fri 9 am-5 pm,"(50) Non Profit , (51) Registered Charity",2015-05-05T04:00:00
