,NEIGHBOURHOOD,Frequency
,"Church-Yonge Corridor, 75",12
,"Church-Yonge Corridor, 75",12
,"Danforth, 66",1
,"East End-Danforth, 62",1
,"Henry Farm, 53",3
,"Woburn, 137",5
,"Etobicoke West Mall, 13",1
,"Elms-Old Rexdale, 5",1
,"Moss Park, 73",6
,"Yorkdale-Glen Park, 31",1
,"Church-Yonge Corridor, 75",12
,"Downsview-Roding-CFB, 26",2
,"Milliken, 130",1
,"Moss Park, 73",6
,"Bay Street Corridor, 76",5
,"Yonge-Eglinton, 100",4
,"Bay Street Corridor, 76",5
,"Weston-Pellam Park, 91",2
,"Yonge-Eglinton, 100",4
,"York University Heights, 27",2
,"Moss Park, 73",6
,"Niagara, 82",6
,"Moss Park, 73",6
,"Woburn, 137",5
,"Willowridge-Martingrove-Richview, 7",1
,"Palmerston-Little Italy, 80",1
,"Waterfront Communities-The Island, 77",1
,"Islington-City Centre West, 14",1
,"Steeles, 116",1
,"Weston-Pellam Park, 91",2
,"Humewood-Cedarvale, 106",1
,"Clairlea-Birchmount, 120",1
,"Yonge-Eglinton, 100",4
,"Rexdale-Kipling, 4",1
,"Humbermede, 22",1
,"Moss Park, 73",6
,"Bay Street Corridor, 76",5
,"Eglinton East, 138",2
,"Church-Yonge Corridor, 75",12
,"Bay Street Corridor, 76",5
,"Rosedale-Moore Park, 98",1
,"Henry Farm, 53",3
,"Annex, 95",3
,"Trinity-Bellwoods, 81",1
,"Church-Yonge Corridor, 75",12
,"Greenwood-Coxwell, 65",2
,"Bendale, 127",1
,"High Park-Swansea, 87",2
,"Church-Yonge Corridor, 75",12
,"Rockcliffe-Smythe, 111",1
,"Blake-Jones, 69",2
,"Danforth East York, 59",1
,"Church-Yonge Corridor, 75",12
,"Newtonbrook West, 36",1
,"Blake-Jones, 69",2
,"Downsview-Roding-CFB, 26",2
,"Wychwood, 94",1
,"Briar Hill-Belgravia, 108",2
,"Annex, 95",3
,"Keelesdale-Eglinton West, 110",1
,"Westminster-Branson, 35",1
,"Henry Farm, 53",3
,"Willowdale East, 51",1
,"Kensington-Chinatown, 78",3
,"Greenwood-Coxwell, 65",2
,"Woburn, 137",5
,"Malvern, 132",1
,"Church-Yonge Corridor, 75",12
,"Annex, 95",3
,"Church-Yonge Corridor, 75",12
,"Caledonia-Fairbank, 109",1
,"Corso Italia-Davenport, 92",1
,"Moss Park, 73",6
,"New Toronto, 18",1
,"Niagara, 82",6
,"Bay Street Corridor, 76",5
,"South Parkdale, 85",1
,"Woburn, 137",5
,"L'Amoreaux, 117",2
,"Woburn, 137",5
,"Niagara, 82",6
,"Kensington-Chinatown, 78",3
,"Wexford-Maryvale, 119",1
,"High Park-Swansea, 87",2
,"Niagara, 82",6
,"Briar Hill-Belgravia, 108",2
,"L'Amoreaux, 117",2
,"Church-Yonge Corridor, 75",12
,"Church-Yonge Corridor, 75",12
,"York University Heights, 27",2
,"Church-Yonge Corridor, 75",12
,"Yonge-Eglinton, 100",4
,"Niagara, 82",6
,"Niagara, 82",6
,"Eglinton East, 138",2
,"Victoria Village, 43",1
,"Kensington-Chinatown, 78",3
